Month,NDVI,EVI,LST,LST_Night,Rainfall,Soil_Moisture,SPI,PET,SPEI,NDVI_min,NDVI_max,VCI,LST_min,LST_max,TCI,SM_min,SM_max,SMCI,VHI,SIWSI
01-10-2009,6054.774676,3628.712776,34.34192118,19.04541663,2.014196879,0.34005309,0.543855348,180.1086905,0.044382586,1899.864131,6940.740796,82.42436428,27.33068144,49.25640906,68.02277281,0.202631793,0.451964417,55.11565041,75.22356854,0.609813046
01-11-2009,5538.276635,3055.450666,31.17481029,17.51140494,1.030300031,0.319282218,1.674311059,161.2301965,0.30396904,1899.864131,6940.740796,72.1781695,27.33068144,49.25640906,82.46749703,0.202631793,0.451964417,46.78506306,77.32283327,0.555248926
01-12-2009,5341.364689,2864.879125,29.55766576,16.16416489,0.168607898,0.244987146,0.690502713,154.0155445,0.384327394,1899.864131,6940.740796,68.27186591,27.33068144,49.25640906,89.84305399,0.202631793,0.451964417,16.98748925,79.05745995,0.5347034
01-01-2010,4789.103515,2472.785625,29.95264627,13.84496528,0.473264416,0.252291923,1.203684256,164.9051816,0.24727351,1899.864131,6940.740796,57.31620859,27.33068144,49.25640906,88.04160632,0.202631793,0.451964417,19.91722088,72.67890745,0.479739226
01-02-2010,3810.193206,1988.260061,35.54035768,19.08985544,0.484377926,0.220551758,1.437536284,189.3877647,-0.141650624,1899.864131,6940.740796,37.89676285,27.33068144,49.25640906,62.55688121,0.202631793,0.451964417,7.187172021,50.22682203,0.381122255
01-03-2010,2790.769148,1500.65642,44.16785845,22.91670913,0.633423842,0.208210975,0.276177475,237.6460119,-1.455136673,1899.864131,6940.740796,17.67361267,27.33068144,49.25640906,23.20812656,0.202631793,0.451964417,2.237645981,20.44086962,0.282561682
01-04-2010,2429.60876,1316.719792,48.94158756,26.37185179,0.21033885,0.202569299,-0.690539638,256.6903397,-2.762978537,1899.864131,6940.740796,10.50897818,27.33068144,49.25640906,1.4358543,0.202569299,0.451964417,0,5.972416238,0.247229284
01-05-2010,2310.333861,1257.784881,47.91444843,28.19214241,0.269991931,0.205755014,-0.511286456,256.7249031,-2.759682448,1899.864131,6940.740796,8.142824292,27.33068144,49.25640906,6.120483923,0.202569299,0.451964417,1.277376677,7.131654108,0.234462249
01-06-2010,3356.576763,1829.76941,43.14457849,28.42394804,4.407434367,0.307497488,-0.692826278,212.7849065,-0.552604979,2189.327314,6940.740796,24.56636228,27.33068144,49.25640906,27.87515506,0.202569299,0.451964417,42.07307247,26.22075867,0.342007418
01-07-2010,4082.943813,2937.514293,30.36047015,20.65820884,14.31303374,0.454792898,0.766423523,139.6234593,0.687906045,2189.327314,6940.740796,39.85375103,27.33068144,49.25640906,86.18158193,0.202569299,0.454792898,100,63.01766648,0.381314535
01-08-2010,6029.495348,4313.323688,28.35589516,21.50243721,15.50453484,0.45623934,1.860718327,115.7762941,0.896716612,2189.327314,6940.740796,80.82159232,27.33068144,49.25640906,95.32415191,0.202569299,0.45623934,100,88.07287211,0.573094739
01-09-2010,6850.051401,4360.172209,30.35852813,22.18288122,9.155910376,0.432152547,0.706167868,130.4221658,0.724715389,2189.327314,6940.740796,98.09131756,27.33068144,49.25640906,86.19043919,0.202569299,0.45623934,90.5046758,92.14087837,0.691454857
01-10-2010,6289.718746,3671.969884,31.00160347,20.90848363,1.993888714,0.368163418,0.52836098,143.8736247,0.521988662,2189.327314,6940.740796,86.29834989,27.33068144,49.25640906,83.25746769,0.202569299,0.45623934,65.27933631,84.77790879,0.637049681
01-11-2010,6319.909499,3547.06481,29.89522597,20.31110038,1.353846872,0.343591233,2.180357528,137.4693601,0.582670586,2189.327314,6940.740796,86.93375562,27.33068144,49.25640906,88.3034918,0.202569299,0.45623934,55.59266412,87.61862371,0.637007168
01-12-2010,5635.884253,3068.213855,27.75599377,14.43657542,0.144249669,0.2428169,0.397609177,146.9234436,0.4676423,2189.327314,6940.740796,72.53750809,27.33068144,49.25640906,98.06021339,0.202569299,0.45623934,15.8661232,85.29886074,0.565524306
01-01-2011,5041.253901,2751.342088,28.94036865,13.28251432,0.213933673,0.208823092,-0.814240321,159.3616412,0.317660623,2189.327314,6940.740796,60.02269847,27.33068144,49.25640906,92.65845476,0.202569299,0.45623934,2.465325613,76.34057662,0.503962715
01-02-2011,4268.516707,2369.150727,33.79561832,18.13364012,0.342764908,0.220251603,0.420705351,179.2614524,0.031061746,2189.327314,6940.740796,43.75938657,27.33068144,49.25640906,70.5143793,0.202569299,0.45623934,6.970592209,57.13688294,0.424701973
01-03-2011,3377.139496,1846.421039,42.34140531,20.79545914,0.322180166,0.207767938,-0.83307157,228.5097227,-1.120376805,2189.327314,6940.740796,24.99913313,27.33068144,49.25640906,31.53830913,0.202569299,0.45623934,2.049370535,28.26872113,0.336322046
01-04-2011,3011.010223,1682.883689,43.14283687,24.3653607,0.703555386,0.222979029,1.261606131,231.2182761,-1.202061103,2189.327314,6940.740796,17.29344148,27.33068144,49.25640906,27.88309834,0.202569299,0.45623934,8.045778591,22.58826991,0.30455447
01-05-2011,2790.480468,1541.596297,45.86498588,26.85858353,0.312058119,0.207264926,-0.309534909,244.3899124,-1.789339769,2189.327314,6940.740796,12.65209094,27.33068144,49.25640906,15.4677794,0.202569299,0.45623934,1.851076504,14.05993517,0.282014154
01-06-2011,3445.484948,2031.889665,41.3224682,26.64203133,4.529191861,0.31563204,-0.628904785,205.3481312,-0.379609881,2189.327314,6940.740796,26.43755673,27.33068144,49.25640906,36.18553053,0.202569299,0.45623934,44.57078999,31.31154363,0.35125995
01-07-2011,4144.802291,2869.960482,31.12915138,22.28065773,10.49016816,0.433225848,-0.299965285,137.0196632,0.67654756,2189.327314,6940.740796,41.15564735,27.33068144,49.25640906,82.67574055,0.202569299,0.45623934,90.9277846,61.91569395,0.35966323
01-08-2011,5731.293231,4355.65441,27.38586006,20.35055001,11.34749026,0.45329289,0.642822313,114.3896584,0.875674156,2189.327314,6940.740796,74.54552062,27.33068144,49.25640906,99.74833848,0.202569299,0.45623934,98.83847132,87.14692955,0.538461367
01-09-2011,7045.277968,4662.101863,30.65896963,22.05770799,6.933253457,0.428257906,-0.213996958,134.039919,0.67112621,2189.327314,7045.277968,100,27.33068144,49.25640906,84.82016993,0.202569299,0.45623934,88.96935778,92.41008497,0.711575905
01-10-2011,6084.590877,3584.663846,33.25673259,20.29435887,0.555242231,0.259210216,-1.073502243,166.1036928,0.231865252,2189.327314,7045.277968,80.21629215,27.33068144,49.25640906,72.97215741,0.202569299,0.45623934,22.32857972,76.59422478,0.610316841
01-11-2011,5242.821455,3014.971397,32.61591794,17.14958777,0.104932989,0.207287749,-1.101390784,173.7346366,0.11428787,2189.327314,7045.277968,62.88149034,27.33068144,49.25640906,75.89481823,0.202569299,0.45623934,1.860073879,69.38815428,0.524181285
01-12-2011,4590.491962,2571.904091,29.97622324,14.61948442,0.053249498,0.204275518,-1.16129509,162.6338628,0.272401822,2189.327314,7045.277968,49.44787993,27.33068144,49.25640906,87.93407522,0.202569299,0.45623934,0.672613494,68.69097757,0.453760689
01-01-2012,4316.681037,2303.577306,29.39355649,15.04940822,0.359795173,0.234605802,0.445499565,156.8812002,0.351163086,2189.327314,7045.277968,43.80921214,27.33068144,49.25640906,90.59153207,0.202569299,0.45623934,12.62920251,67.2003721,0.425691884
01-02-2012,3698.302687,1965.286467,35.45353673,17.55679726,0.225081943,0.207949893,-0.666005481,193.9910464,-0.234148843,2189.327314,7045.277968,31.07476746,27.33068144,49.25640906,62.9528587,0.202569299,0.45623934,2.121099324,47.01381308,0.365579743
01-03-2012,2797.911015,1549.151526,42.90403949,20.90486244,0.258828976,0.202507545,-1.145913155,230.0650394,-1.176754087,2189.327314,7045.277968,12.53274065,27.33068144,49.25640906,28.97221786,0.202507545,0.45623934,0,20.75247926,0.280368087
01-04-2012,2625.020644,1454.546554,47.11899562,25.61117243,0.254824565,0.205113636,-0.42908291,250.7117965,-2.185619546,2189.327314,7045.277968,8.972359107,27.33068144,49.25640906,9.748426523,0.202507545,0.45623934,1.027104438,9.360392815,0.264776922
01-05-2012,2448.168579,1346.188283,47.43098189,27.35099146,0.163592386,0.207439297,-1.146057019,255.4603518,-2.619380934,2189.327314,7045.277968,5.330393236,27.33068144,49.25640906,8.325503286,0.202507545,0.45623934,1.943686967,6.827948261,0.248207809
01-06-2012,3156.716978,1734.51569,42.46073673,27.0124128,5.320390198,0.284355506,-0.239717949,213.71883,-0.553112409,2189.327314,7045.277968,19.92173589,27.33068144,49.25640906,30.99405618,0.202507545,0.45623934,32.2576683,25.45789603,0.324936178
01-07-2012,2982.442872,2056.586314,35.43426301,23.87775255,14.74265986,0.435693114,0.873891488,166.9724842,0.403931142,2189.327314,7045.277968,16.33285868,27.33068144,49.25640906,63.04076331,0.202507545,0.45623934,91.90238422,39.686811,0.236236363
01-08-2012,5511.144602,4008.119906,28.73646285,19.70248081,9.444895781,0.448705509,-0.014500155,130.716542,0.724667192,2189.327314,7045.277968,68.40714671,27.38586006,49.25640906,93.82455927,0.202507545,0.45623934,97.03078949,81.11585299,0.512216335
01-09-2012,7055.989973,4547.326176,30.12484153,22.15703129,7.917787716,0.435737155,0.214699696,128.3746135,0.731926419,2189.327314,7055.989973,100,27.38586006,49.25640906,87.47639362,0.202507545,0.45623934,91.9197415,93.73819681,0.712395403
01-10-2012,6278.883675,3756.275448,31.77425428,19.57748432,1.083972723,0.327521231,-0.313781012,157.1487898,0.356891825,2189.327314,7055.989973,84.03204922,27.38586006,49.25640906,79.93468649,0.202507545,0.45623934,49.27001201,81.98336786,0.632477958
01-11-2012,5552.76381,3165.927978,30.64617271,16.99094637,0.555372155,0.289422266,0.705463307,159.1757285,0.324464133,2189.327314,7055.989973,69.11176573,27.38586006,49.25640906,85.09268037,0.202507545,0.45623934,34.25456437,77.10222305,0.554144984
01-12-2012,5192.730059,2822.610938,29.36306214,15.44703434,0.051125242,0.214012991,-1.215583618,155.231045,0.367915508,2189.327314,7055.989973,61.71380585,27.38586006,49.25640906,90.95952243,0.202507545,0.45623934,4.534491088,76.33666414,0.517904362
01-01-2013,4598.45714,2496.611228,29.11883911,15.58272023,0.486657329,0.211963647,1.285034867,152.890821,0.401833593,2189.327314,7055.989973,49.50270844,27.38586006,49.25640906,92.07619778,0.202507545,0.45623934,3.726809959,70.78945311,0.458081153
01-02-2013,4046.069672,2101.970111,34.14636317,18.21035226,0.376212481,0.240048867,0.682575099,181.7059575,-0.008687226,2189.327314,7055.989973,38.15227165,27.38586006,49.25640906,69.08855325,0.202507545,0.45623934,14.79567116,53.62041245,0.405707354
01-03-2013,3183.994934,1667.271316,41.90134106,22.39951787,0.382136445,0.210538536,-0.574779457,228.3059257,-1.111372442,2189.327314,7055.989973,20.4383926,27.38586006,49.25640906,33.63001085,0.202507545,0.45623934,3.165149613,27.03420172,0.319006532
01-04-2013,2787.303048,1527.22012,46.46653742,25.68144803,0.50189886,0.218397007,0.633268715,249.3644336,-2.073895243,2189.327314,7055.989973,12.28718273,27.38586006,49.25640906,12.75629452,0.202507545,0.45623934,6.262306218,12.52173863,0.282254934
01-05-2013,2570.062009,1437.007383,47.99725237,27.69491096,0.139459302,0.203273551,-1.330183532,257.5668321,-2.897656758,2189.327314,7055.989973,7.823322097,27.38586006,49.25640906,5.757316327,0.202507545,0.45623934,0.301895847,6.790319212,0.262510959
01-06-2013,3079.343666,1925.035404,42.78612679,26.96432984,12.02946881,0.40041921,2.09283396,216.8576164,-0.46897569,2189.327314,7055.989973,18.2880223,27.38586006,49.25640906,29.5844529,0.202507545,0.45623934,78.0003408,23.9362376,0.289477743
01-07-2013,2414.821889,1882.588025,30.46242145,22.68304186,14.53976631,0.458645925,0.823398519,128.0940617,0.791416061,2189.327314,7055.989973,4.633454,27.38586006,49.25640906,85.93285707,0.202507545,0.458645925,100,45.28315553,0.184000936
